descripcion,decision
El lateral despeja con fuerza durante un córner,Penal
El lateral realiza una entrada peligrosa en el mediocampo,Roja
El delantero toca la pelota con la mano tras revisión VAR,Roja
El delantero comete falta dentro del área fuera del área,Penal
El defensor toca la pelota con la mano tras revisión VAR,Amarilla
El defensor toma la pelota con la mano durante un córner,Amarilla
El defensor realiza una entrada peligrosa en el mediocampo,Roja
El mediocampista comete falta dentro del área al borde del área,Gol anulado
El delantero realiza una entrada peligrosa durante un córner,Roja
El mediocampista salta con el codo levantado durante un córner,No penal
El arquero bloquea el disparo con la mano cerca del arco,Roja
El delantero anota un gol fuera del área,Sin infracción
El defensor pisa al rival dentro del área,Offside
El mediocampista anota un gol dentro del área,No penal
El arquero bloquea el disparo con la mano después de un rebote,Roja
El delantero empuja a un rival dentro del área,Penal
El delantero empuja a un rival después de un rebote,Gol válido
El mediocampista pisa al rival cerca del arco,Sin infracción
El delantero comete falta sin balón fuera del área,Penal
El mediocampista salta con el codo levantado cerca del arco,Amarilla
El mediocampista bloquea el disparo con la mano tras revisión VAR,Amarilla
El delantero empuja a un rival tras revisión VAR,Tiro libre
El lateral bloquea el disparo con la mano cerca del arco,Tiro libre
El delantero toca la pelota con la mano al borde del área,Penal
El delantero comete falta dentro del área en el mediocampo,No penal
El arquero salta con el codo levantado fuera del área,Amarilla
El mediocampista empuja a un rival al borde del área,Penal
El delantero comete infracción desde atrás al borde del área,Offside
El delantero toma la pelota con la mano cerca del arco,Roja
El mediocampista toma la pelota con la mano fuera del área,Amarilla
El delantero comete falta sin balón cerca del arco,Roja
El mediocampista comete falta dentro del área dentro del área,No penal
El arquero anota un gol fuera del área,Sin infracción
El lateral bloquea el disparo con la mano cerca del arco,Tiro libre
El delantero salta con el codo levantado en el mediocampo,Gol válido
El delantero anota un gol cerca del arco,Gol anulado
El arquero anota un gol cerca del arco,Gol anulado
El mediocampista toca la pelota con la mano dentro del área,Amarilla
El defensor pisa al rival dentro del área,Sin infracción
